wallet,label,source,category,notes
9WzDXwBbmkg8ZTbNMqUxvQRAyrZzDsGYdLVL9zYtAWWM,legit,known_protocol,staking,Marinade native stake pool
mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So,legit,known_protocol,staking,Marinade mSOL token mint
7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,legit,known_protocol,staking,Lido stSOL token mint
srmqPvymJeFKQ4zGQed1GFppgkRHL9kaELCbyksJtPX,legit,known_protocol,DEX,Serum DEX program (legacy OpenBook)
opnb2LAfJYbRMAHHvqjCwQxanZn7ReEHp1k81EQMFsc,legit,known_protocol,DEX,OpenBook DEX v2
PhoeNiXZ8ByJGLkxNfZRnkUfjvmuYqLR89jjFHGqdXY,legit,known_protocol,DEX,Phoenix DEX program
DjVE6JNiYqPL2QXyCUUh8rNjHrbz9hXHNYt99MQ59qw1,legit,known_protocol,oracle,Switchboard Oracle program
FsJ3A3u2vn5cTVofAjvy6y5kwABJAqYWpe4975bi2epH,legit,known_protocol,oracle,Pyth Network price feed authority
3XXuUFfweXBwFgFfYaejLvZE4cGZiHgKiGfMtdxNzYmv,legit,known_protocol,staking,Sanctum validator LST
bSo13r4TkiE4KumL71LsHTPpL2euBYLFx6h9HP3piy1,legit,known_protocol,staking,BlazeStake bSOL token mint
J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,legit,known_protocol,staking,Jito jitoSOL token mint
DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,legit,known_protocol,token,Bonk token mint - legit meme coin
EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,legit,known_protocol,token,WIF token mint - legit meme coin
HZ1JovNiVvGrGNiiYvEozEVgZ58xaU3RKwX8eACQBCt3,legit,known_protocol,bridge,Pyth governance staking
worm2ibMTkL3JhPgEGUhS2RXxHJj7i3v6VhY2PqGsio,legit,known_protocol,bridge,Wormhole bridge program (post-fix)
jCebN34bUfdeUYJT13J1yG16XWQpt5PDx6Mse9GUqhR,legit,known_protocol,staking,JPool staking pool
CgnTSoL3DgY9SFHxcLj6CgCgKKoTBr6tp4CPAEWy25DE,legit,known_protocol,staking,Cogent SOL token mint
5oVNBeEEQvYi1cX3ir8Dx5n1P7pdxydbGF2X4TxVusJm,legit,known_protocol,staking,Socean scnSOL token mint
he1iusmfkpAdwvxLNGV8Y1iSbj4rUy6yMhEA3fotn9A,legit,known_protocol,staking,Helius staked SOL
4MangoMjqJ2firMokCjjGPuH8fQdCFjY4vTU3FhmsEFF,legit,known_protocol,DEX,Mango Markets v4 program (post-exploit rebuilt)
E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe,legit,known_validator,validator,Triton RPC validator (top Solana validator)
Certusm1sa411sMpV9FPqU5dXAYhmmhygvxJ23S6hJ24,legit,known_protocol,token,Certus One - known validator operator
GBtgbhMXWyiJeFBGQDqDn9eH6s8EvKjSyEWXrCWHvDJr,legit,known_entity,foundation,Solana Foundation main wallet
dv1ZAGvdsz5hHLwWXsVnM94hWf1pjbKVau1QVkaMJ92,legit,known_validator,validator,Everstake Solana validator
dv2eQHeP4RFrJZ6UhxdE65AMPEaJ4hp3oqerpv4y2sR,legit,known_validator,validator,Everstake secondary validator
dv3qDFk1DTF36Z62bNvrCXe9sKk5hUFm2ZNQSqUgrG9,legit,known_validator,validator,Everstake tertiary validator
dv4ACNkpYPcE3aKmYDqhm9Pd3HGtq39sg5GUVR2TkWp,legit,known_validator,validator,Everstake quaternary validator
7Lf95y8NuCU5RRC95oUtbBtckPAtbr6P1frhxjgFo5Cj,legit,known_validator,validator,P2P.org Solana validator
StepN8KY5Q8YzEygEaJCXaQnzLAjcT6hraTPqDoZeqF,legit,known_protocol,gaming,StepN program - move to earn
HYSPeAqBtJxQa2CNdMKFNfN4WEJVQ7RL2tjKqMbvNgfs,legit,known_entity,institutional,Jump Crypto Solana wallet (Wormhole rescuer)
TCMPhJdwDryooaGtiocG1u3xcYbRpiJzb283XfCZsDp,legit,known_protocol,NFT,Tensor cNFT compression program
TACPhnzGK3MSjj5zGcGHfKkVfxJJaD4yrjPgxCLpump,legit,known_protocol,token,PumpFun token program (platform itself is legit)
6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,legit,known_protocol,token,PumpFun fee authority
LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,legit,known_protocol,DEX,Meteora DLMM program
LiqkGnJwZ4Tk1Uvh5DVKhUVWNGFsohhYAYiWXJkue7v,legit,known_protocol,staking,Liquid staking program
r2dt7qJMWzQSbFKjspGNLqm4PcyDVhPqFkZsQUBi2QF,legit,known_protocol,DEX,Raydium concentrated liquidity
CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK,legit,known_protocol,DEX,Raydium CPMM program
27haf8L6oxUeXrHrgEgsexjSY5hbVUWEmvv9Nyxg8vQv,legit,known_protocol,DEX,Raydium AMM authority
HWHvQhFmJB3NUcu1aihKmrKegfVxBEHzwVX6yZCKEsi1,legit,known_entity,institutional,Alameda Research (FTX estate - known entity)
9n4nbM75f5Ui33ZbPYXn59EwSgE8CGsHtAeTH5YFeJ9E,legit,known_exchange,exchange,Binance SOL hot wallet
3yFwqXBfZY4jBVUafQ1YEXw189y2dN3V5KQq9uzBDy1E,legit,known_exchange,exchange,Coinbase SOL hot wallet
2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm,legit,known_exchange,exchange,Kraken SOL hot wallet
Any5gL74oUQy9Psb3goym9STaYMau4CMrTkryS37T7iz,legit,known_holder,whale,Jupiter top holder #3 - 4.1% JUP supply ~$63M
6DByueU46di4eSLW19Q5dg3oCBGL4knENTtHqVxrWA3P,legit,known_holder,whale,Jupiter top holder #5 - 2.32% JUP supply ~$36M
CPZmKkAhD2wv1Z21EUZvdH8ZeSD13geAnSfyVBwcW8XK,legit,known_holder,whale,Jupiter top holder #6
6wsjaQTidXNqmPDw4st2yMtFmTk7yyBEox5SydFQeJe7,legit,known_holder,whale,Jupiter top holder #7
27b4PRN7K37rpTywq65t29rjuNfQkYpxZUjkbtHc5VvZ,legit,known_holder,whale,Jupiter top holder #8
BmEyv8gu9d4aDm5n96nyC3K328cn5UAR5ddVK1CSF1j2,legit,known_holder,whale,Jupiter top holder #9
DRAuGJnQXKiViJpGV6SEReLd4bYaR1c9swqnF9cKvZzn,legit,known_holder,whale,Jupiter top holder #10
BN5sEedysJxragPcFoR5UDXSiA7oZLe2FPbo7tZ2MZCG,legit,known_holder,whale,Jupiter top holder #11
9dondvQdZJjChbfeCeX2xoZ7hMrXS9B1u5mDVxBerbUB,legit,known_holder,whale,Jupiter top holder #12
9K1SJYStwyA7kV2j5gZvqhtSujEhRr5WvES6JRgMyYUY,legit,known_holder,whale,Jupiter top holder #13
Ew6iUFb1dwu2fy1apprCJBa27mnpV6rZTe9XYeDnfQZc,legit,known_holder,whale,Jupiter top holder #14
