wallet,cluster_size,cluster_risk
5cLR6sx54pEYM399utYGAW7Cyg7r2axxt78YyWFFbCAKwCSxpc2kM9aoJu8139R1BQ619yMS6FUa5yDpMJrGdWRN,51,1.0
4qCT6e5tWKV5KCBymXGJkgfdfqKVH98LtGWya5UGAd5FxfHq4k3Lq9AzRHDZpssptMuirKB8zvRGC9d1aXZcFkGv,51,1.0
4LPVMFevnyvZ3bNEWAZy1WJGEVDawTsw5XgYhjjn99yEPkwn8BpAukwZasfEpUexnWrTv5PQoE83VcNHvtT5hHWt,51,1.0
128pRjbApXJRoE7zzYAkhrqysFwpFQpNPuJHupPxQU4DvNV8KcfSvDCSsE5QBCmAfMbNTAShGw5fJwpZ76zu56Gv,51,1.0
4CjEF6iXq4xHRTZ7b5CEawB6oiatY9TGvy6ior2pFr9nHbMPhFqfqmDXz64PKx7o2FTwt3TZtEBJcFXATfePuNXc,51,1.0
w1jCRXst7hwF8cC5ekckAVFAUZJiij4ykCNSGBRyzP93LBrZak9r8EFAjxuVzN5MMMSTFGt2rV7U7M93TxS8hSx,51,1.0
2JorB7yA9arrVPJmAv2NyFqPvMsvxfnp68mptyLdNuW2HrXBqPM7fvJTks4JT6kogt7xMGUwBgGMdJ9jq7NdR59B,51,1.0
3U8A8qBxtyauCzQ4WCPtgysg5outUakexVkfWFJ94oxXm4heuYY8esBB1Dz2RsyDCN5oF4Tfiog8ZDEejoggTShJ,51,1.0
4y3xS5bgBH4CcAqGJtxwt3NUH5Hr2Rc3VCstnBHd4e3hADJVut33UwTi9LoYPy7PaSCMgwRqAJcb78F7Sc8JqoZT,51,1.0
3uKwv7L54486JoPwkXuhLpNgMygFyRh9W8p5suqBCFgJSLNiEwCURrVe4BHX83QWMqcM3zC2jvUKtANLvPhJdUaM,51,1.0
5RAq4xYx34FnxnZSLLHZMiVnNyoYSVjFCvfPDJKWVJjWq9CLGBSBeZXk8NKxb2BSMCUWrLFT1Yo5XfM83V1XW8or,51,1.0
2NpPLpYZAHhi8AZ8dUzSMr2mjkzisAisZzen8vForXhZnF1knAWswTcGHiDxbdhb9o51PXKc1qeQtxg8DVHho5yP,51,1.0
4QeirH6ejWECYJfGDvYeC5S6b57VegkGf7Ls4iByjDwjnSSFVjbMymU6Vtd8zYkdBdnYFT2KEu8bgrHUSbfm6tep,51,1.0
3Wtyxmt8nLf4Bh5UAkiKVWJHMbGmdFYxK1b3X44K1tcqSKFn79XFKp5EUZwiMpjSudHUfq9qUkYbeqavc7CNzWSy,16,1.0
4fV7ute1P8vTfo8k3QbZYTuFqDzXtfNgMvPgj8SLoGrD2eHrTnhfyTxGJudebKnQX36S3EqGaseii4srSgD6TZ78,51,1.0
4cA9oacweB7bnYVe6BngLWgqrnJNVjfepQ7TTXXbVr1ABoaSgrzUagx1Zv9ETtKbqjuBNdfoYofMX16xtN7XepQA,16,1.0
dGhUnMdRqyrHKZAbGvDMmYC95jt3EK6Sc9UYVHdeswN7ZzLz3JXDRF3QyQxpUG2KGQwfhhNdgJenGu6zt5QmJt5,51,1.0
31GqXHjStFumzRorMaZdfD4xFQ9HpiQcmt5baJCfy4XFfW3BQMLuEdwpNfox8oCimAtJ2HZiMphzJRz8E1VEi7qU,51,1.0
NpHyJv9fC8ZEFzo1f51HGGyGXxEWycSU9ER3BTYJwBTgbdjEdaoMiFRvkMi49PTZfnwhnWL7QqckbGmAHqtFLa6,51,1.0
61U5Zr6XDrz3YkT3fbD6ZP4czFaqMbN191wPBsD4znQKtz78KMGfrZmARetvouiC4tR1oapNN7ZgzdDbAvQzgTM9,51,1.0
4g2mtGiZrEikdVv1z5NMyjpTgmWjbyJQy3S1eiK6w6UYt7Lrb7XEWwJgCyDJtfcpB9ZC8vbHSmWv1wrhCXtC5ZL7,51,1.0
Wg4ur355Lr9t2ih2fveYyW3uo1P9AVEEq9cbv3uUASSkpqoqy7k8NTFV7vxTmztLw9PRGeGvX4fkoA8aKTNeCKA,51,1.0
4uVRpe1SpUoX2ZNZFiQ6mtoXbKZv1osP2kf8pizHxGC1h2jAj22qmJJmYmFBYqEjQ6Ha4AV4BRqgD5xZDdjRiVqM,51,1.0
57C1u7atz3PWPqaptzTsPXWBVih5p8znxgjeYysh83p8eGWk3HguX264KAFqpfhzFDQNshh7pow2LiLB6PC3D6Lk,10,1.0
26dkQmi7rbL1Jg1BnQHunfiFcno82TxXz8UhEF1zzQQvnBp7VajCAb39ooBF8E6H41fuhAHvDq8XdNoU62o1vfSw,51,1.0
2jVCdLd9pRgfPqsqdoBjP54kbEwDHomYFWRoY9qzhWZUFZz1jTbdPYGA3oAoQeJwvgtsB9LjrCNBS35BsSNpXHSV,51,1.0
g3rw2NFcGmZQDdbTuJnq478Uxt9y9jW5YSv3WHFqeivrdVFbNWzU944wkHkAk2Ef2pT2CFKFGdq2xp1eK2nL8WG,51,1.0
