wallet,score,risk
DhTYAPL2qugbBSixzw7A1PwbrBTz5WGm2dN3YtwYeYtY,80,1
3S32E1qsZkwYDT8ubTVaJ1B6hM8B98gY3AbjWVm66kSw,80,1
Cd6TbMpLeEJUZ5zbEnfBVqGmw5rEdB8VXfb2eJUhpep6,80,1
FSFmzPdeRBX4wYf5PDcw93P7XX5Bgxy7TZULN1qphjXe,80,1
9jgGn7s4tkk4YapPY2j1yLf9zNeFPNgEFuqyfPtJtW13,80,1
HmmHzyQekdWcDv2q5BuFEj9xpPmP9X1cY4RuQcURzeyn,80,1
82sTKjgSrLdsT89zh2az4hWTp21GNXPUEq7CxBpt3TeX,80,1
84R6tUSknxy7zwcWnqM5YNGXtLXHZhNGyjN2nv4EPwTg,80,1
JAzziowYFrCrfzLu1v1BQs1zsG68uvgBa19W8toPVQi4,80,1
7PdBjNbvk33iZ9NYfvHQZkcpTYUmvSPpyZP9v9tHhRxg,80,1
5isbDu7jQtBLagTAQ34f5ZWxcYZC7jF25gbbexZ6PZNQ,80,1
7RGNwVE4tG4b5PrUWshJaKAimYoiKCUff5rNhePQtfXz,80,1
8e4nTMQJcN7qwaBbkbywXsvoSGKZNp67tK4r7a7LaV13,80,1
A5Lg5TJoCkT5LWMQDhXYXbjdPPsBYQXpzGvkihWfd7V4,80,1
3H77F5ZwvNkSyrX5oDqco74Lr7PGtCYwckrgx92hUHCz,80,1
36sis9QnHhaJNCNUGAbYsaUjD7BcPaXM51uEfpaTKdPV,80,1
DQaKFxUuqiDCWd8KM9AAu7fyjmqbk6Pw3WzuPXbejwqX,80,1
AwZzM9f43hMmKQxsKicXj1QdFRKYz7jjQLns2brhASnM,80,1
BhDnr7VirF4WxJ9keySDAgJ255ejjzGaHp1m3iuobXWL,80,1
HAxsH3Hwb3NGysUjaLNDMrDBqVW6Q7y9ogjrpF6bbTbk,80,1
AvLVEHMk5iBpgucxP1WFmsfYiyVLsNVTAnqA7B8K2WSw,80,1
CYLqgURT35Qw9DCx38jhtSo5yo12oUsQKgcLbAL44731,80,1
CHFCuWFBkkRtc1fqj9N4cLMGrcmweqbbFw3Y9mfuuVYU,80,1
Eq6CuTuwuXK1udRFCbFQ27ugEgmYCs3c5hpEcrYfnTQ5,80,1
CQ9npNJo4a2FNVHQM18Qeif7E4Xpg1XhJfHnmezNiD31,80,1
8fyY4jr7KduWi5xNS6Efdg2AA29jPw8vHDNzJD7Zg9Kn,80,1
Fk43Y3fMfRt9hT4rZVVDDBz2rkxiWceyKq2WRyYSmZaV,80,1
8Z6ydTTrWKSEr2RmspxJj355yRYsjvv6DvEq184fokBC,80,1
5M1W3DswD5CGvEMw3iUgfq4AWZt8zdFdGzshMWAt4rzV,80,1
4p1Tm4yw6ehkvx1CVAkZ3pW27sj4ZXwcQQNXGBdcmhg2,80,1
HwTqWmSGan7p99QWi3Jtxep92755VaM9Hmu6k3EQQTaF,80,1
APcidXD9kfmfNJwEAgbkJVnDSE3fd9a79CJWjQJLoQiD,80,1
EL9bLEmrexjDZQYsmqc1W19Bm7JtMR2KaeAmUW9seaGE,80,1
BBpCKs3Scoe4kBVW6Kvbohu8E1yUCG9AvpP7EZjKT7o4,80,1
