wallet,label,source,category,notes
iBGtY2LBEmTiVrmPCgHRGdCPZJcDEmmkDxbLhV11111,scam,solphishhunter,ISA,impersonation of system account
gYs5v8LBaTNRFhU8rSSFeEqaCQPjmkT28naAN711111,scam,solphishhunter,ISA,impersonation of system account
CompuV3LmCTW7AGGnM6YBftCJkKP3ZKkK1fCAY8L7eM1,scam,solphishhunter,ISA,impersonation - ComputeBudget fake
np84cd63UoFj2pbR7QU226hKg8e5w6j2hN4poa11111,scam,solphishhunter,ISA,impersonation of system account
CaNCU6LiZUKc7Su3avu5jDbdDXdKeAmv625c4M11111,scam,solphishhunter,ISA,1692 phish attempts - $43k losses
Qcsb89L6QS74b56PpxvygajsXKx1CnBSqnQ5gq11111,scam,solphishhunter,ISA,gang3 - $466k losses
TdnNjtovxBmRZmg76oHhTgpVfWQYa4CCfTUNxU11111,scam,solphishhunter,ISA,impersonation of system account
b8pyTBjatpNCVaKxRbPkqiujziAcvTXkcQeYDb11111,scam,solphishhunter,ISA,336 phish attempts
9htfHryds3YLLjZZxa4RTyegFfsScvGcFTQyFCcVXUVm,scam,solphishhunter,gang1,STMT+AAT - $749k total losses
3Bitp9awjSEGE1UumthfF6iogTuTkFhaLBHj3xvK7yQa,scam,solphishhunter,gang1,AAT - 647 attempts - $449k losses
HbtSzZgPZJabqWgXV9t7S4n6RwkmFuUDze1tQYX22oAP,scam,solphishhunter,gang1,AAT - 596 attempts - $300k losses
6Dofca9F1pU2iodvgzGFSUaP8BSooMsWPb8H5saYikCX,scam,solphishhunter,gang1,gang1 member
H84jE7ZvSQc7JM6BpZX5kBKDShYboM6yYLaAZKdGsvTT,scam,solphishhunter,gang1,gang1 member
Bo3bz5HiGB8V9vxDPc8p6CujtXdosT1c4CvU3wdYDkyh,scam,solphishhunter,gang1,gang1 member
9955r2AsxJcbuST11jeE39wGXeQX5FziNhjzeJMK1Zss,scam,solphishhunter,gang1,gang1 member
HuzNeiRA6MexzQs21AKHUsjLWTseCNkTcFi5iX9MK3pA,scam,solphishhunter,gang1,gang1 member
Abih5VzqFR8qMCJZNi1C7pJjkVZThgaKk9r6gjv1kYmC,scam,solphishhunter,gang2,AAT phishing gang
6uhD4cWsiFgRaH7KC39waEVb6quJprgrUhkCTH65pwPM,scam,solphishhunter,gang2,gang2 member
67sCNziG6MPms4RfpPofVjRB31gMM2YMbYXRYRbYUEbr,scam,solphishhunter,gang2,gang2 member
DJ7doi4vLtL8N3kpQjh1YK91gcK1a4JYmeUPtJL4bE4K,scam,solphishhunter,gang2,gang2 member
7nRCFwUnZpPYbP4T9hsAqaUaqu2RHx9VhBuvfLoLiMRt,scam,solphishhunter,gang2,gang2 member
9GDN5krysAR8xGnLaRZTvzcPzfmForf1VjJzUqCSksqy,scam,solphishhunter,gang2,gang2 member
F4dF9bnf5WxcfTJnDxt4D4t2CipseQgESXS24YCnNmZ,scam,solphishhunter,gang2,gang2 member
3M6DXwQva1H3oTSiYUJCjPSFqTYzQWm3rMiPpQjzhF6Z,scam,solphishhunter,gang3,ISA gang member
9LMa3PfmGCA61itb479zZVU9Pjqg8j1fXzP1Ex11111,scam,solphishhunter,ISA_discovered,impersonation discovered
eWxJCpJh1ac5gv3j7i6GM6FvhndkZP1j1bebNc11111,scam,solphishhunter,ISA_discovered,impersonation discovered
cMHG3ivVkVmkUcX6MMsWetEUeWcCw78QzSaqzW11111,scam,solphishhunter,ISA_discovered,impersonation discovered
Lm4Ng7FPwxGBVQAPYNbqijuUzcXiy9vaVWPAPE11111,scam,solphishhunter,ISA_discovered,impersonation discovered
ZJKJzZpiEXkK2CSGi6eJYGvZ6bp3kRXwPBsiWV11111,scam,solphishhunter,ISA_discovered,impersonation discovered
CompurwaRQEp7NAbdSnHhmu35gNm3HwGRdBtVSVFjcX5,scam,solphishhunter,ISA_discovered,Compu prefix fake
wddBT1UoieJbHt3gHrtEWEyh41jDe4PfctgpGs11111,scam,solphishhunter,ISA_discovered,impersonation discovered
ComputHPT5daVapYegd9NEuqWfHdy9DAcG2Yiskc8uX8,scam,solphishhunter,ISA_discovered,Compu prefix fake
CompuN1ccmbcd2wfDU8j8bkLG62AGgHAwMx4XRnGWKTM,scam,solphishhunter,ISA_discovered,Compu prefix fake
RB8EsMj3dntJZtotspEfPisei5oQjTB4f4NWjx11111,scam,solphishhunter,ISA_discovered,impersonation discovered
S8dSx4oehDpy7CVexQ2HVMepdoxnZF6puEbdwH11111,scam,solphishhunter,ISA_discovered,impersonation discovered
De2bQHxEgbiQCp4T8E1vrNXy8x19tMs49yWtVu11111,scam,solphishhunter,ISA_discovered,impersonation discovered
Gck5PWhKL4Qn87bhFwpL19Y5gkAbFN93GXXsTzuJ1VX4,scam,solphishhunter,STMT,wallet drainer - 1639 phish attempts
BNRThTYg9x49JYNkbDUYERb3X7JV2GYcEpFLAUHX5Rep,scam,solphishhunter,AAT,phishing program - 931 AAT - $449k losses
DmJaFCGnvQK3txE5UpMRxe2i4yZ8FEfSGr3Tsk4Lgr4r,scam,solphishhunter,STMT,high-value STMT - $45k losses
GLqfgNJmVYBeT9TrEpvZPf7t79Jd8EFrsCti87RA3bUh,scam,solphishhunter,money_laundering,124 multi-transfer money laundering txs
FLiPgGTXtBtEJoytikaywvWgbz5a56DdHKZU72HSYMFF,scam,community_report,dusting,flip.gg dusting/spam campaign wallet
BjVeAjPrSKFiingBn4vZvghsGj9KCE8AJVtbc9S8o8SC,scam,stepsecurity_2026,malware_c2,ForceMemo+GlassWorm C2 wallet - Solana memo malware
HkGz4KmoZ7Zmk7HN6ndJ31UJ1qZ2qgwQxgVqQwovpZES,suspect,daemon_drift_2026,exploiter_cluster,Drift seed wallet P1 - $1.47B notional
HZCkJmFnkDWArAPMEAAFTK6dfjWZsRrnzE1hekHmnf9k,suspect,daemon_drift_2026,exploiter_cluster,P1 - $318M - infra/pool
7RoMqGAcU7S6ESAhPDvB9iSXvASUhuoE8u7dYRxGBew9,suspect,daemon_drift_2026,exploiter_cluster,P1 - $266M
CfjRtQzkaBBd67T3C8K2TbjL4RKnKe8mJu93qmwFHi65,suspect,daemon_drift_2026,exploiter_cluster,P1 - $244M - infra/pool
9q82ekf7QP8Phnvp3EXr5HjDXPkW7KRYNdp2wyCk95CV,suspect,daemon_drift_2026,exploiter_cluster,P1 - $242M - 81 legs
41bx1zKN3TBmxKo2u2B63UoFNNEAejCKBftuX27G8Zr5,suspect,daemon_drift_2026,exploiter_cluster,P1 - $219M
8ubo4HbWJHKyFJYJc2Gh74dxCP7bN7Fu2Pi13KZ9rGxw,suspect,daemon_drift_2026,exploiter_cluster,P1 - $193M
J8TwdioMgeDvnjcsT19dDA5H9D4nhZsLLHpzbmuQoyiC,suspect,daemon_drift_2026,exploiter_cluster,P1 - $155M single largest leg
AVzP2GeRmqGphJsMxWoqjpUifPpCret7LqWhD8NWQK49,suspect,daemon_drift_2026,exploiter_cluster,P1 - $151M - infra/pool
7Z73Wkgcfc5xWUhSLHu6McBZHhGEg7VZvunsvN21ipsu,suspect,daemon_drift_2026,exploiter_cluster,P1 - $133M - 56 legs
45TPnZPhKiqrSTvUrpGn7XdUYxUx2oHcHz85RBJDMgBb,suspect,daemon_drift_2026,exploiter_cluster,P1 - $130M - 131 legs
6fHfN98CrC786CSfSRaLNB61gdgs7dveVgvmWcsw1GGd,suspect,daemon_drift_2026,exploiter_cluster,P1 - $115M - 144 legs
7NuooRLhhtQx412t6giQmYo24r6HpiRoaWFEaaPBNCCU,suspect,daemon_drift_2026,exploiter_cluster,P1 - $81M
BUvduFTd2sWFagCunBPLupG8fBTJqweLw9DuhruNFSCm,suspect,daemon_drift_2026,exploiter_cluster,P1 - $77M
4qCrT4E8hufau7vfof2VhtmwNgd5CT4vp9sUiykQJzHF,suspect,daemon_drift_2026,exploiter_cluster,P1 - $75M
57ZJ6dXxCEwZPJ9BEyKb5xjGZvGg4hqDALLbiRUFbsjM,suspect,daemon_drift_2026,exploiter_cluster,P1 - $75M
GXWqPpjQpdz7KZw9p7f5PX2eGxHAhvpNXiviFkAB8zXg,suspect,daemon_drift_2026,exploiter_cluster,P1 - $60M
6uFJNXMjYSSC9QRfahGWwJy5WQWzah8mMJvTmmqMt7W7,suspect,daemon_drift_2026,exploiter_cluster,P1 - $56M
7igSaKEZKdfGy9nVB376FPcz4kVmR6MwMqdCCSb1Fgne,suspect,daemon_drift_2026,exploiter_cluster,P1 - $54M
2CXKzUNSn2zwWjgEJVEiaD4ERSpsSbAa9dQcysRQ9jwn,suspect,daemon_drift_2026,exploiter_cluster,P1 - $52M
WzWUoCmtVv7eqAbU3BfKPU3fhLP6CXR8NCJH78UK9VS,suspect,daemon_drift_2026,exploiter_cluster,P1 - $52M
EUuUbDcafPrmVTD5M6qoJAoyyNbihBhugADAxRMn5he9,suspect,daemon_drift_2026,exploiter_cluster,P1 - $48M - 68 legs
2WLWEuKDgkDUccTpbwYp1GToYktiSB1cXvreHUwiSUVP,suspect,daemon_drift_2026,exploiter_cluster,P1 - $47M - 68 legs
9pEQiu6J1W4xCWkYM7sAqK69vkZ9aLQ2M84wHTq8gEkc,suspect,daemon_drift_2026,exploiter_cluster,P1 - $40M
Htp9MGP8Tig923ZFY7Qf2zzbMUmYneFRAhSp7vSg4wxV,scam,mango_exploit_2022,exploiter,Mango Markets exploiter - Avraham Eisenberg - $116M - convicted
CQvd1pEe31KS1MgLM5eFDYBYWgnUya72avi5TjCfSTeb,scam,cashio_exploit_2022,exploiter,Cashio infinite mint exploiter - $52M stolen
JCNCMFXo5M5qwUPg2Utu1u6YWp3MbygxqBsBeXXJfrw,neutral,daemon_drift_2026,infrastructure,Drift Vault P2 - $285M notional - program-owned
9rt6j2qopDWEa8ATYbQHRtiQczvwzNsq8KwHCsFgCJ2,suspect,daemon_drift_2026,high_activity,234 legs in Drift cluster - high interaction
B39NiMP9AwuTacfMJNUBg5kvbZHriPFXc7KyXnzLpPcr,suspect,daemon_drift_2026,seed_touchpoint,58 legs - seed wallet touchpoint
3tJ67qa2GDfvv2wcMYNUfN5QBZrFpTwcU8ASZKMvCTVU,suspect,daemon_drift_2026,infra_pool,68 legs - protocol/pool heavy
