wallet,score,risk
CfrYzQr7BArji9zAuhakHCdYsSYwCqY3B2ZP8qMeLvFe,80,1
EMdxRX1mefW1SUKd82kvMPNW22Cegign6EX7X4sbTxA1,80,1
6sjbRsvHzsL5j9LhMdhGstNFHqHmorwEsArxm2LwNq6C,80,1
EgiNWXTtLUJQNbkEZkUNoaiGJNwJAAkWo2c3C7hi12eP,80,1
D1e54uiyzKfBL9h7MQusSA1ucwx4nnU8ZeZUUs5E1AZc,80,1
GFp654yuZuexnorfGgw5jpmsrM87VKPmeYP6Ph21Afko,80,1
CdDKPdfNJMgTz246ydNRc6r2um1wPwPLaBf47E8qy7a9,80,1
9mjJh2gE6NhgD94yyHfxSjFBy8b496f3SeN9PXEz1yWF,80,1
2CD6LRVLEDBBvT2sUvPymQB1Hye1J5khVdauQ8dPHt7q,80,1
8sGGvvHzGwv3fd5xTcJLeGv8edMwyy1aij2w3bmr1sas,80,1
ApVQHNtXZZ9oTpS5BeiD3hPT66iU5mKKsnwHu9ZnnPSw,80,1
NXESgfNoJXGbpmfHNAYU5n2uBdJNpHm7nbsjerA1KR5,80,1
HQX8VAaGNGh16jis5ooGhMBhwwf6rKwDXh4KunjEpnCe,80,1
31RZmCoojM8rU1yXPewhD3vsRkxrX4NsundSduCCyu9w,80,1
BeCLpcuMvaEfJwjp3Y9niMm1ywWZ8FfztLCd7NGzw63G,80,1
C821Ye1swnz6MLihLHLFk3nVEu5Lz4kwweryQyuMYspm,80,1
9ijMpnc1KQRv9fmUsCyboAyMK3H1gaAXAgKnzgqqKkZZ,80,1
Ad1HreBKBLZU7k6ffgaZZp77uinfHCooZ3jHHExDyjFj,80,1
9AiA1oR3GyozxM6QNa77hDf3Xp2rYD9bP7rQ4MwbSXdD,80,1
9Gd3ehnTrzY7eEkvB4vwHmrGFGy5bnjAbPD4bjckvR4f,80,1
