wallet,penalty,reasons_count
27b4PRN7K37rpTywq65t29rjuNfQkYpxZUjkbtHc5VvZ,95,15
2DMfakGXczzXy6esaT1qF629QuX2CA5YwKw7gdahEb9V,95,15
33WqHwGJGTwbx2cScvKM1pnzXvRHeJnfBKQpqmPbsWCN,95,39
34n9HPLvEV3jjC9tCe9sYiAfpybD7iUuHvRxKJJroJ4u,95,63
3h6Qu9Vo1sDL25ajmidJnHEV4KeFnDuT9VCtAyhVWyMs,95,53
3hT4PHcUT6jFToX1ge8aEGDz5bNGTaz829VtNif6aLeP,95,19
4jkL4dNkY2UbpYrTgLA3u5FqKwKs1LM46RcE6FQU3qXi,95,53
4yWDmvn7TUVQuZvZRYcEcQuFijEWZ73FpnrtRnFb66aC,95,29
6VL8hRjKRbEvqResPkiWuLMcoW6RRiNfv1b5H9fMqcb1,95,49
6f4FHdcPic4eh9kZ7V95SXfmaocNFsbkLN4Bj7asnnVg,95,19
75tZxLzH9CEH64CtyMdmo9ANvC2jfUW3Nict9e6xeNMx,95,19
7kbnvuGBxxj8AG9qp8Scn56muWGaRaFqxg1FsRp3PaFT,95,19
8X35rQUK2u9hfn8rMPwwr6ZSEUhbmfDPEapp589XyoM1,95,15
8pLTHaFMqXEXm7BP5zm7mCWhSFg116hrqLh3JQMrP3YW,95,19
8sMS3PARFVKrbc8jMe9nzGuWNoxUuL6RANQ8Lt4Apbo4,95,19
9Dy2UJMthCqrckdsUzaYcFbCUaDpkTpRoxesKuS6ZyVR,95,19
9QCfNuQuxct1Xk9ytFYgxc5fThmTzL4pHQnSjjrVUrka,95,40
9hXa2JEguhjX2ixNHrjnyhcoFduarSRazf8kEeKpLAEE,95,63
BKVM59wJYMXnZfTkacKjnqNwChLFmbTcdFBsEc6UKUxx,95,49
BVr41YdQU6kkq3h55HKyz4wgBjRUrNY4HG4LHDRjMpUT,95,19
Bjeida13AjgPaUEU9xrh1iQMwxZC7QDdvSfg73oxQff7,95,49
CPZmKkAhD2wv1Z21EUZvdH8ZeSD13geAnSfyVBwcW8XK,95,15
Dn2A6nMEuyE5WFjf9n8M3nACVsbjKEhiXeff6CiD6mtx,95,15
FVhQ3QHvXudWSdGix2sdcG47YmrmUxRhf3KCBmiKfekf,95,15
Fy8rQffRVq4tzC33pM58KQgGn3wk2AC2aZkQGcDsW79e,95,19
GBuoUaV1kfCuj9Uu5AYvKsSg8RbnvW4B4E5EEBmKM8mP,95,19
Gmz2arYNgHQkMpYEeFtewUkP3oVEP7QzfpcywxWQZNc9,95,19
GnAT9S2EC7HttvmUpjHL3tx2DUy4KLmZWCtUpuon9pdG,95,15
HbtSzZgPZJabqWgXV9t7S4n6RwkmFuUDze1tQYX22oAP,95,19
LssxRdEeDV3fLd4y4m3akAPfz3HApTBw9yh7TJvFFhP,95,15
