wallet,reason_codes,reason_freq,top_3_reasons,weighted_risk_score
DhTYAPL2qugbBSixzw7A1PwbrBTz5WGm2dN3YtwYeYtY,"[""NO_SCAM_HISTORY"", ""LOW_RISK_CLUSTER"", ""FAR_FROM_SCAM_CLUSTER"", ""LONG_HISTORY""]","{""NO_SCAM_HISTORY"": 1, ""LOW_RISK_CLUSTER"": 1, ""FAR_FROM_SCAM_CLUSTER"": 1, ""LONG_HISTORY"": 1}","NO_SCAM_HISTORY,LOW_RISK_CLUSTER,FAR_FROM_SCAM_CLUSTER",0
3S32E1qsZkwYDT8ubTVaJ1B6hM8B98gY3AbjWVm66kSw,"[""NO_SCAM_HISTORY"", ""LOW_RISK_CLUSTER"", ""FAR_FROM_SCAM_CLUSTER"", ""LONG_HISTORY""]","{""NO_SCAM_HISTORY"": 1, ""LOW_RISK_CLUSTER"": 1, ""FAR_FROM_SCAM_CLUSTER"": 1, ""LONG_HISTORY"": 1}","NO_SCAM_HISTORY,LOW_RISK_CLUSTER,FAR_FROM_SCAM_CLUSTER",0
Cd6TbMpLeEJUZ5zbEnfBVqGmw5rEdB8VXfb2eJUhpep6,"[""NO_SCAM_HISTORY"", ""LOW_RISK_CLUSTER"", ""FAR_FROM_SCAM_CLUSTER"", ""LONG_HISTORY""]","{""NO_SCAM_HISTORY"": 1, ""LOW_RISK_CLUSTER"": 1, ""FAR_FROM_SCAM_CLUSTER"": 1, ""LONG_HISTORY"": 1}","NO_SCAM_HISTORY,LOW_RISK_CLUSTER,FAR_FROM_SCAM_CLUSTER",0
FSFmzPdeRBX4wYf5PDcw93P7XX5Bgxy7TZULN1qphjXe,"[""NO_SCAM_HISTORY"", ""LOW_RISK_CLUSTER"", ""FAR_FROM_SCAM_CLUSTER"", ""LONG_HISTORY""]","{""NO_SCAM_HISTORY"": 1, ""LOW_RISK_CLUSTER"": 1, ""FAR_FROM_SCAM_CLUSTER"": 1, ""LONG_HISTORY"": 1}","NO_SCAM_HISTORY,LOW_RISK_CLUSTER,FAR_FROM_SCAM_CLUSTER",0
9jgGn7s4tkk4YapPY2j1yLf9zNeFPNgEFuqyfPtJtW13,"[""NO_SCAM_HISTORY"", ""LOW_RISK_CLUSTER"", ""FAR_FROM_SCAM_CLUSTER"", ""LONG_HISTORY""]","{""NO_SCAM_HISTORY"": 1, ""LOW_RISK_CLUSTER"": 1, ""FAR_FROM_SCAM_CLUSTER"": 1, ""LONG_HISTORY"": 1}","NO_SCAM_HISTORY,LOW_RISK_CLUSTER,FAR_FROM_SCAM_CLUSTER",0
HmmHzyQekdWcDv2q5BuFEj9xpPmP9X1cY4RuQcURzeyn,"[""NO_SCAM_HISTORY"", ""LOW_RISK_CLUSTER"", ""FAR_FROM_SCAM_CLUSTER"", ""LONG_HISTORY""]","{""NO_SCAM_HISTORY"": 1, ""LOW_RISK_CLUSTER"": 1, ""FAR_FROM_SCAM_CLUSTER"": 1, ""LONG_HISTORY"": 1}","NO_SCAM_HISTORY,LOW_RISK_CLUSTER,FAR_FROM_SCAM_CLUSTER",0
82sTKjgSrLdsT89zh2az4hWTp21GNXPUEq7CxBpt3TeX,"[""NO_SCAM_HISTORY"", ""LOW_RISK_CLUSTER"", ""FAR_FROM_SCAM_CLUSTER"", ""LONG_HISTORY""]","{""NO_SCAM_HISTORY"": 1, ""LOW_RISK_CLUSTER"": 1, ""FAR_FROM_SCAM_CLUSTER"": 1, ""LONG_HISTORY"": 1}","NO_SCAM_HISTORY,LOW_RISK_CLUSTER,FAR_FROM_SCAM_CLUSTER",0
84R6tUSknxy7zwcWnqM5YNGXtLXHZhNGyjN2nv4EPwTg,"[""NO_SCAM_HISTORY"", ""LOW_RISK_CLUSTER"", ""FAR_FROM_SCAM_CLUSTER"", ""LONG_HISTORY""]","{""NO_SCAM_HISTORY"": 1, ""LOW_RISK_CLUSTER"": 1, ""FAR_FROM_SCAM_CLUSTER"": 1, ""LONG_HISTORY"": 1}","NO_SCAM_HISTORY,LOW_RISK_CLUSTER,FAR_FROM_SCAM_CLUSTER",0
JAzziowYFrCrfzLu1v1BQs1zsG68uvgBa19W8toPVQi4,"[""NO_SCAM_HISTORY"", ""LOW_RISK_CLUSTER"", ""FAR_FROM_SCAM_CLUSTER"", ""LONG_HISTORY""]","{""NO_SCAM_HISTORY"": 1, ""LOW_RISK_CLUSTER"": 1, ""FAR_FROM_SCAM_CLUSTER"": 1, ""LONG_HISTORY"": 1}","NO_SCAM_HISTORY,LOW_RISK_CLUSTER,FAR_FROM_SCAM_CLUSTER",0
7PdBjNbvk33iZ9NYfvHQZkcpTYUmvSPpyZP9v9tHhRxg,"[""NO_SCAM_HISTORY"", ""LOW_RISK_CLUSTER"", ""FAR_FROM_SCAM_CLUSTER"", ""LONG_HISTORY""]","{""NO_SCAM_HISTORY"": 1, ""LOW_RISK_CLUSTER"": 1, ""FAR_FROM_SCAM_CLUSTER"": 1, ""LONG_HISTORY"": 1}","NO_SCAM_HISTORY,LOW_RISK_CLUSTER,FAR_FROM_SCAM_CLUSTER",0
