wallet,ml_score,penalty,final_score,risk_level,reason_codes,reason_text
61aq585V8cR2sZBeawJFt2NPqmN7zDi1sws4KLs5xHXV,100,0,100,LOW,"[""NO_RISK_DETECTED""]","[""No suspicious behavior detected.""]"
8X35rQUK2u9hfn8rMPwwr6ZSEUhbmfDPEapp589XyoM1,0,0,0,HIGH,"[""NO_RISK_DETECTED""]","[""No suspicious behavior detected.""]"
GnAT9S2EC7HttvmUpjHL3tx2DUy4KLmZWCtUpuon9pdG,0,0,0,HIGH,"[""NO_RISK_DETECTED""]","[""No suspicious behavior detected.""]"
CPZmKkAhD2wv1Z21EUZvdH8ZeSD13geAnSfyVBwcW8XK,0,0,0,HIGH,"[""NO_RISK_DETECTED""]","[""No suspicious behavior detected.""]"
LssxRdEeDV3fLd4y4m3akAPfz3HApTBw9yh7TJvFFhP,0,0,0,HIGH,"[""NO_RISK_DETECTED""]","[""No suspicious behavior detected.""]"
6LfawjK4CQE7pHApWYA6s6PCH5jfgrcRcV6xE6vtiyjY,100,0,100,LOW,"[""NO_RISK_DETECTED""]","[""No suspicious behavior detected.""]"
8e7ekBeWmMdU6sJqnCwhm3P2bHBpNwZZ6RNiWJyrMyYz,100,0,100,LOW,"[""NO_RISK_DETECTED""]","[""No suspicious behavior detected.""]"
Fpajj9ZT8SGfcUUeLQddp2xgS2pueqTCVtGUb47TnCXV,100,0,100,LOW,"[""NO_RISK_DETECTED""]","[""No suspicious behavior detected.""]"
GTpCw6qWWuv3iSGZWAnm6jMkxKPrj6LjWYrn2L1BMWvD,100,0,100,LOW,"[""NO_RISK_DETECTED""]","[""No suspicious behavior detected.""]"
2JaSzRYrf44fPpQBtRJfnCEgThwCmvpFd3FCXi45VXxm,100,0,100,LOW,"[""NO_RISK_DETECTED""]","[""No suspicious behavior detected.""]"
2DMfakGXczzXy6esaT1qF629QuX2CA5YwKw7gdahEb9V,100,0,100,LOW,"[""NO_RISK_DETECTED""]","[""No suspicious behavior detected.""]"
27b4PRN7K37rpTywq65t29rjuNfQkYpxZUjkbtHc5VvZ,0,0,0,HIGH,"[""NO_RISK_DETECTED""]","[""No suspicious behavior detected.""]"
8bK8pCuBnJsu4C25g6cr7j7YEosSpHwmYamP2HMBT9Pd,100,0,100,LOW,"[""NO_RISK_DETECTED""]","[""No suspicious behavior detected.""]"
Dn2A6nMEuyE5WFjf9n8M3nACVsbjKEhiXeff6CiD6mtx,100,0,100,LOW,"[""NO_RISK_DETECTED""]","[""No suspicious behavior detected.""]"
FVhQ3QHvXudWSdGix2sdcG47YmrmUxRhf3KCBmiKfekf,0,0,0,HIGH,"[""NO_RISK_DETECTED""]","[""No suspicious behavior detected.""]"
