wallet,score,risk
DhTYAPL2qugbBSixzw7A1PwbrBTz5WGm2dN3YtwYeYtY,80,1
3S32E1qsZkwYDT8ubTVaJ1B6hM8B98gY3AbjWVm66kSw,80,1
Cd6TbMpLeEJUZ5zbEnfBVqGmw5rEdB8VXfb2eJUhpep6,80,1
FSFmzPdeRBX4wYf5PDcw93P7XX5Bgxy7TZULN1qphjXe,80,1
9jgGn7s4tkk4YapPY2j1yLf9zNeFPNgEFuqyfPtJtW13,80,1
HmmHzyQekdWcDv2q5BuFEj9xpPmP9X1cY4RuQcURzeyn,80,1
82sTKjgSrLdsT89zh2az4hWTp21GNXPUEq7CxBpt3TeX,80,1
84R6tUSknxy7zwcWnqM5YNGXtLXHZhNGyjN2nv4EPwTg,80,1
JAzziowYFrCrfzLu1v1BQs1zsG68uvgBa19W8toPVQi4,80,1
7PdBjNbvk33iZ9NYfvHQZkcpTYUmvSPpyZP9v9tHhRxg,80,1
