"wallet","label"
"iBGtY2LBEmTiVrmPCgHRGdCPZJcDEmmkDxbLhV11111","scam"
"gYs5v8LBaTNRFhU8rSSFeEqaCQPjmkT28naAN711111","scam"
"CompuV3LmCTW7AGGnM6YBftCJkKP3ZKkK1fCAY8L7eM1","scam"
"np84cd63UoFj2pbR7QU226hKg8e5w6j2hN4poa11111","scam"
"CaNCU6LiZUKc7Su3avu5jDbdDXdKeAmv625c4M11111","scam"
"Qcsb89L6QS74b56PpxvygajsXKx1CnBSqnQ5gq11111","scam"
"TdnNjtovxBmRZmg76oHhTgpVfWQYa4CCfTUNxU11111","scam"
"b8pyTBjatpNCVaKxRbPkqiujziAcvTXkcQeYDb11111","scam"
"9htfHryds3YLLjZZxa4RTyegFfsScvGcFTQyFCcVXUVm","scam"
"3Bitp9awjSEGE1UumthfF6iogTuTkFhaLBHj3xvK7yQa","scam"
"HbtSzZgPZJabqWgXV9t7S4n6RwkmFuUDze1tQYX22oAP","scam"
"6Dofca9F1pU2iodvgzGFSUaP8BSooMsWPb8H5saYikCX","scam"
"H84jE7ZvSQc7JM6BpZX5kBKDShYboM6yYLaAZKdGsvTT","scam"
"Bo3bz5HiGB8V9vxDPc8p6CujtXdosT1c4CvU3wdYDkyh","scam"
"9955r2AsxJcbuST11jeE39wGXeQX5FziNhjzeJMK1Zss","scam"
"HuzNeiRA6MexzQs21AKHUsjLWTseCNkTcFi5iX9MK3pA","scam"
"Abih5VzqFR8qMCJZNi1C7pJjkVZThgaKk9r6gjv1kYmC","scam"
"6uhD4cWsiFgRaH7KC39waEVb6quJprgrUhkCTH65pwPM","scam"
"67sCNziG6MPms4RfpPofVjRB31gMM2YMbYXRYRbYUEbr","scam"
"DJ7doi4vLtL8N3kpQjh1YK91gcK1a4JYmeUPtJL4bE4K","scam"
"7nRCFwUnZpPYbP4T9hsAqaUaqu2RHx9VhBuvfLoLiMRt","scam"
"9GDN5krysAR8xGnLaRZTvzcPzfmForf1VjJzUqCSksqy","scam"
"F4dF9bnf5WxcfTJnDxt4D4t2CipseQgESXS24YCnNmZ","scam"
"3M6DXwQva1H3oTSiYUJCjPSFqTYzQWm3rMiPpQjzhF6Z","scam"
"9LMa3PfmGCA61itb479zZVU9Pjqg8j1fXzP1Ex11111","scam"
"eWxJCpJh1ac5gv3j7i6GM6FvhndkZP1j1bebNc11111","scam"
"cMHG3ivVkVmkUcX6MMsWetEUeWcCw78QzSaqzW11111","scam"
"Lm4Ng7FPwxGBVQAPYNbqijuUzcXiy9vaVWPAPE11111","scam"
"ZJKJzZpiEXkK2CSGi6eJYGvZ6bp3kRXwPBsiWV11111","scam"
"CompurwaRQEp7NAbdSnHhmu35gNm3HwGRdBtVSVFjcX5","scam"
"wddBT1UoieJbHt3gHrtEWEyh41jDe4PfctgpGs11111","scam"
"ComputHPT5daVapYegd9NEuqWfHdy9DAcG2Yiskc8uX8","scam"
"CompuN1ccmbcd2wfDU8j8bkLG62AGgHAwMx4XRnGWKTM","scam"
"RB8EsMj3dntJZtotspEfPisei5oQjTB4f4NWjx11111","scam"
"S8dSx4oehDpy7CVexQ2HVMepdoxnZF6puEbdwH11111","scam"
"De2bQHxEgbiQCp4T8E1vrNXy8x19tMs49yWtVu11111","scam"
"Gck5PWhKL4Qn87bhFwpL19Y5gkAbFN93GXXsTzuJ1VX4","scam"
"BNRThTYg9x49JYNkbDUYERb3X7JV2GYcEpFLAUHX5Rep","scam"
"DmJaFCGnvQK3txE5UpMRxe2i4yZ8FEfSGr3Tsk4Lgr4r","scam"
"GLqfgNJmVYBeT9TrEpvZPf7t79Jd8EFrsCti87RA3bUh","scam"
"FLiPgGTXtBtEJoytikaywvWgbz5a56DdHKZU72HSYMFF","scam"
"BjVeAjPrSKFiingBn4vZvghsGj9KCE8AJVtbc9S8o8SC","scam"
"HkGz4KmoZ7Zmk7HN6ndJ31UJ1qZ2qgwQxgVqQwovpZES","scam"
"HZCkJmFnkDWArAPMEAAFTK6dfjWZsRrnzE1hekHmnf9k","scam"
"7RoMqGAcU7S6ESAhPDvB9iSXvASUhuoE8u7dYRxGBew9","scam"
"CfjRtQzkaBBd67T3C8K2TbjL4RKnKe8mJu93qmwFHi65","scam"
"9q82ekf7QP8Phnvp3EXr5HjDXPkW7KRYNdp2wyCk95CV","scam"
"41bx1zKN3TBmxKo2u2B63UoFNNEAejCKBftuX27G8Zr5","scam"
"8ubo4HbWJHKyFJYJc2Gh74dxCP7bN7Fu2Pi13KZ9rGxw","scam"
"J8TwdioMgeDvnjcsT19dDA5H9D4nhZsLLHpzbmuQoyiC","scam"
"AVzP2GeRmqGphJsMxWoqjpUifPpCret7LqWhD8NWQK49","scam"
"7Z73Wkgcfc5xWUhSLHu6McBZHhGEg7VZvunsvN21ipsu","scam"
"45TPnZPhKiqrSTvUrpGn7XdUYxUx2oHcHz85RBJDMgBb","scam"
"6fHfN98CrC786CSfSRaLNB61gdgs7dveVgvmWcsw1GGd","scam"
"7NuooRLhhtQx412t6giQmYo24r6HpiRoaWFEaaPBNCCU","scam"
"BUvduFTd2sWFagCunBPLupG8fBTJqweLw9DuhruNFSCm","scam"
"4qCrT4E8hufau7vfof2VhtmwNgd5CT4vp9sUiykQJzHF","scam"
"57ZJ6dXxCEwZPJ9BEyKb5xjGZvGg4hqDALLbiRUFbsjM","scam"
"GXWqPpjQpdz7KZw9p7f5PX2eGxHAhvpNXiviFkAB8zXg","scam"
"6uFJNXMjYSSC9QRfahGWwJy5WQWzah8mMJvTmmqMt7W7","scam"
"7igSaKEZKdfGy9nVB376FPcz4kVmR6MwMqdCCSb1Fgne","scam"
"2CXKzUNSn2zwWjgEJVEiaD4ERSpsSbAa9dQcysRQ9jwn","scam"
"WzWUoCmtVv7eqAbU3BfKPU3fhLP6CXR8NCJH78UK9VS","scam"
"EUuUbDcafPrmVTD5M6qoJAoyyNbihBhugADAxRMn5he9","scam"
"2WLWEuKDgkDUccTpbwYp1GToYktiSB1cXvreHUwiSUVP","scam"
"9pEQiu6J1W4xCWkYM7sAqK69vkZ9aLQ2M84wHTq8gEkc","scam"
"Htp9MGP8Tig923ZFY7Qf2zzbMUmYneFRAhSp7vSg4wxV","scam"
"CQvd1pEe31KS1MgLM5eFDYBYWgnUya72avi5TjCfSTeb","scam"
"9rt6j2qopDWEa8ATYbQHRtiQczvwzNsq8KwHCsFgCJ2","scam"
"B39NiMP9AwuTacfMJNUBg5kvbZHriPFXc7KyXnzLpPcr","scam"
"3tJ67qa2GDfvv2wcMYNUfN5QBZrFpTwcU8ASZKMvCTVU","scam"
"JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN","good"
"675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8","good"
"whirLbMiicVdio4qvUfM5KAg6Ct8VwpYzGff3uctyCc","good"
"MarBmsSgKXdrN1egZf5sqe1TMai9K1rChYNDJgjq7aD","good"
"TSWAPaqyCSx2KABk68Shruf4rp7CxcNi8hAsbdwmHbN","good"
"M2mx93ekt1fmXSVkTrUL9xVFHkmME8HTUi5Cyc5aF7K","good"
"Jito4APyf642JPZPx3hGc6WWJ8zPKtRbRs4P815Awbb","good"
"MERLuDFBMmsHnsBPZw2sDQZHvXFMwp8EdjudcU2HKky","good"
"SSwpkEEcbUqx4vtoEByFjSkhKdCT862DNVb52nZg1UZ","good"
"cjg3oHGg7597FkQZMBBewEwKEPMOIkcPZiUCVmcyqLL","good"
"So11111111111111111111111111111111111111112","good"
"metaqbxxUerdq28cj1RbAWkYQm3ybzjb6a8bt518x1s","good"
"CoREENxT6tW1HoK8ypY1SxRMZTcVPm7R94rH4PZNhX7d","good"
"cndy3Z4yapfJBmL3ShUp5exZKqR3z33thTGKkPCNRhVk","good"
"7WVhw8R7moAHaPJkZh59kRbqyApTFQvjV816qwEjsW6o","good"
"9WzDXwBbmkg8ZTbNMqUxvQRAyrZzDsGYdLVL9zYtAWWM","good"
"mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So","good"
"7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj","good"
"srmqPvymJeFKQ4zGQed1GFppgkRHL9kaELCbyksJtPX","good"
"opnb2LAfJYbRMAHHvqjCwQxanZn7ReEHp1k81EQMFsc","good"
"PhoeNiXZ8ByJGLkxNfZRnkUfjvmuYqLR89jjFHGqdXY","good"
"3XXuUFfweXBwFgFfYaejLvZE4cGZiHgKiGfMtdxNzYmv","good"
"bSo13r4TkiE4KumL71LsHTPpL2euBYLFx6h9HP3piy1","good"
"J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn","good"
"DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263","good"
"EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm","good"
"jCebN34bUfdeUYJT13J1yG16XWQpt5PDx6Mse9GUqhR","good"
"CgnTSoL3DgY9SFHxcLj6CgCgKKoTBr6tp4CPAEWy25DE","good"
"5oVNBeEEQvYi1cX3ir8Dx5n1P7pdxydbGF2X4TxVusJm","good"
"he1iusmfkpAdwvxLNGV8Y1iSbj4rUy6yMhEA3fotn9A","good"
"4MangoMjqJ2firMokCjjGPuH8fQdCFjY4vTU3FhmsEFF","good"
"E8cU1WiRWjanGxmn96ewBgk9vPTcL6AEZ1t6F6fkgUWe","good"
"Certusm1sa411sMpV9FPqU5dXAYhmmhygvxJ23S6hJ24","good"
"GBtgbhMXWyiJeFBGQDqDn9eH6s8EvKjSyEWXrCWHvDJr","good"
"dv1ZAGvdsz5hHLwWXsVnM94hWf1pjbKVau1QVkaMJ92","good"
"dv2eQHeP4RFrJZ6UhxdE65AMPEaJ4hp3oqerpv4y2sR","good"
"dv3qDFk1DTF36Z62bNvrCXe9sKk5hUFm2ZNQSqUgrG9","good"
"dv4ACNkpYPcE3aKmYDqhm9Pd3HGtq39sg5GUVR2TkWp","good"
"7Lf95y8NuCU5RRC95oUtbBtckPAtbr6P1frhxjgFo5Cj","good"
"StepN8KY5Q8YzEygEaJCXaQnzLAjcT6hraTPqDoZeqF","good"
"HYSPeAqBtJxQa2CNdMKFNfN4WEJVQ7RL2tjKqMbvNgfs","good"
"TCMPhJdwDryooaGtiocG1u3xcYbRpiJzb283XfCZsDp","good"
"TACPhnzGK3MSjj5zGcGHfKkVfxJJaD4yrjPgxCLpump","good"
"6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P","good"
"LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo","good"
"LiqkGnJwZ4Tk1Uvh5DVKhUVWNGFsohhYAYiWXJkue7v","good"
"r2dt7qJMWzQSbFKjspGNLqm4PcyDVhPqFkZsQUBi2QF","good"
"CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK","good"
"27haf8L6oxUeXrHrgEgsexjSY5hbVUWEmvv9Nyxg8vQv","good"
"HWHvQhFmJB3NUcu1aihKmrKegfVxBEHzwVX6yZCKEsi1","good"
"9n4nbM75f5Ui33ZbPYXn59EwSgE8CGsHtAeTH5YFeJ9E","good"
"3yFwqXBfZY4jBVUafQ1YEXw189y2dN3V5KQq9uzBDy1E","good"
"2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm","good"
"DjVE6JNiYqPL2QXyCUUh8rNjHrbz9hXHNYt99MQ59qw1","good"
"FsJ3A3u2vn5cTVofAjvy6y5kwABJAqYWpe4975bi2epH","good"
"HZ1JovNiVvGrGNiiYvEozEVgZ58xaU3RKwX8eACQBCt3","good"
"worm2ibMTkL3JhPgEGUhS2RXxHJj7i3v6VhY2PqGsio","good"
"Any5gL74oUQy9Psb3goym9STaYMau4CMrTkryS37T7iz","good"
"6DByueU46di4eSLW19Q5dg3oCBGL4knENTtHqVxrWA3P","good"
"CPZmKkAhD2wv1Z21EUZvdH8ZeSD13geAnSfyVBwcW8XK","good"
